Market Center,State,Commodity,Year,Month,Arrivals,Unit of Arrivals,Origin,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Dharamkot,Punjab,Spinach,2012,February,0.2,Tonnes,NR,Other,NR,500,NR,Rs/Quintal
F.G.Churian,Punjab,Spinach,2012,February,0.7,Tonnes,NR,Other,200,300,250,Rs/Quintal
Faridkot,Punjab,Spinach,2012,February,1,Tonnes,NR,Spinach,200,400,300,Rs/Quintal
Fazilka (Ladhuka),Punjab,Spinach,2012,February,0.06,Tonnes,NR,Other,200,200,200,Rs/Quintal
Firozepur City,Punjab,Spinach,2012,February,2,Tonnes,NR,Other,500,600,550,Rs/Quintal
Gehri,Punjab,Spinach,2012,February,NR,Tonnes,NR,Other,200,200,200,Rs/Quintal
Giddarbaha,Punjab,Spinach,2012,February,0.05,Tonnes,NR,Other,500,600,550,Rs/Quintal
Khamano,Punjab,Spinach,2012,February,0.1,Tonnes,NR,Spinach,500,500,500,Rs/Quintal
Kharar,Punjab,Spinach,2012,February,1.2,Tonnes,NR,Other,400,600,500,Rs/Quintal
Ludhiana,Punjab,Spinach,2012,February,1,Tonnes,NR,Other,300,500,400,Rs/Quintal
Makhu,Punjab,Spinach,2012,February,1,Tonnes,NR,Other,330,350,340,Rs/Quintal
Mehatpur,Punjab,Spinach,2012,February,0.3,Tonnes,NR,Other,300,410,410,Rs/Quintal
Nakodar,Punjab,Spinach,2012,February,0.3,Tonnes,NR,Other,300,400,400,Rs/Quintal
Noor Mehal,Punjab,Spinach,2012,February,1.2,Tonnes,NR,Other,300,325,315,Rs/Quintal
Patti,Punjab,Spinach,2012,February,10,Tonnes,NR,Other,150,200,175,Rs/Quintal
Phillaur,Punjab,Spinach,2012,February,3,Tonnes,NR,Other,400,400,400,Rs/Quintal
Quadian,Punjab,Spinach,2012,February,0.1,Tonnes,NR,Other,400,600,500,Rs/Quintal
Alwar(FV),Rajasthan,Spinach,2012,February,1,Tonnes,NR,Other,500,600,550,Rs/Quintal
Jhansi,Uttar Pradesh,Spinach,2012,February,6,Tonnes,NR,Other,NR,NR,350,Rs/Quintal
Baruipur(Canning),West Bengal,Spinach,2012,February,2.5,Tonnes,NR,Spinach,600,700,700,Rs/Quintal
Diamond Harbour,West Bengal,Spinach,2012,February,3,Tonnes,NR,Spinach,600,900,800,Rs/Quintal
Talalagir,Gujarat,Sponge gourd,2012,February,0.21,Tonnes,NR,Other,2450,2460,2455,Rs/Quintal
Betnoti,Orissa,Sponge gourd,2012,February,0.43,Tonnes,NR,Other,2400,3000,2600,Rs/Quintal
Bassi Pathana,Punjab,Sponge gourd,2012,February,0.1,Tonnes,NR,Other,1500,1500,1500,Rs/Quintal
P.O. Uparhali Guwahati,Assam,Squash(Chappal kadoo),2012,February,1.8,Tonnes,NR,Other,1500,1700,1600,Rs/Quintal
Ahmedabad,Gujarat,Surat Beans (Papdi),2012,February,0.2,Tonnes,NR,Other,1500,2000,1800,Rs/Quintal
Bilimora,Gujarat,Surat Beans (Papdi),2012,February,3.3,Tonnes,NR,Other,2000,2500,2250,Rs/Quintal
S.Mandvi,Gujarat,Surat Beans (Papdi),2012,February,NR,Tonnes,NR,Other,750,2510,1630,Rs/Quintal
Vadodara(Sayajipura),Gujarat,Surat Beans (Papdi),2012,February,2.7,Tonnes,NR,Other,2250,2750,2600,Rs/Quintal
Nagpur(Mahatma Phule Market),Maharashtra,Surat Beans (Papdi),2012,February,2,Tonnes,NR,Other,300,400,350,Rs/Quintal
Ahmedabad,Gujarat,Sweet Potato,2012,February,305.6,Tonnes,NR,Other,1400,2000,1700,Rs/Quintal
Bilimora,Gujarat,Sweet Potato,2012,February,1.2,Tonnes,NR,Other,1400,1600,1500,Rs/Quintal
Vadhvan,Gujarat,Sweet Potato,2012,February,11,Tonnes,NR,Sweet Potato,1400,1600,1500,Rs/Quintal
Vadodara(Sayajipura),Gujarat,Sweet Potato,2012,February,5.5,Tonnes,NR,Other,1000,1200,1150,Rs/Quintal
Ballabhgarh,Haryana,Sweet Potato,2012,February,5,Tonnes,NR,Other,500,1000,700,Rs/Quintal
Fatehabad,Haryana,Sweet Potato,2012,February,0.1,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
K.R. Pet,Karnataka,Sweet Potato,2012,February,12,Tonnes,NR,Sweet Potato,183,183,183,Rs/Quintal
Siddapur,Karnataka,Sweet Potato,2012,February,31.3,Tonnes,NR,Other,1500,2100,1800,Rs/Quintal
Pattambi,Kerala,Sweet Potato,2012,February,1,Tonnes,NR,Sweet Potato,1200,1500,1350,Rs/Quintal
Aurangabad,Maharashtra,Sweet Potato,2012,February,12,Tonnes,NR,Other,600,1000,800,Rs/Quintal
Kolhapur,Maharashtra,Sweet Potato,2012,February,4.3,Tonnes,NR,Other,1000,1400,1200,Rs/Quintal
Nagpur(Mahatma Phule Market),Maharashtra,Sweet Potato,2012,February,10,Tonnes,NR,Other,1000,1200,1100,Rs/Quintal
Pune,Maharashtra,Sweet Potato,2012,February,206.2,Tonnes,NR,Other,600,1200,900,Rs/Quintal
Azadpur,NCT of Delhi,Sweet Potato,2012,February,17.1,Tonnes,NR,Sweet Potato,1200,1600,1438,Rs/Quintal
Betnoti,Orissa,Sweet Potato,2012,February,0.21,Tonnes,NR,Other,1600,2000,1800,Rs/Quintal
Adampur,Punjab,Sweet Potato,2012,February,0.1,Tonnes,NR,Sweet Potato,1500,1600,1500,Rs/Quintal
Sirhind,Punjab,Sweet Potato,2012,February,0.2,Tonnes,NR,Other,600,800,700,Rs/Quintal
Jalore,Rajasthan,Sweet Potato,2012,February,1,Tonnes,NR,Other,1400,1600,1500,Rs/Quintal
Jodhpur(F&V)(Paota),Rajasthan,Sweet Potato,2012,February,0.3,Tonnes,NR,Other,2000,3000,2500,Rs/Quintal
Katpadi(Uzhavar Santhai),Tamil Nadu,Sweet Potato,2012,February,0.1,Tonnes,NR,Other,1400,1400,1400,Rs/Quintal
Bowenpally,Telangana,Sweet Potato,2012,February,46.5,Tonnes,NR,Sweet Potato,300,700,500,Rs/Quintal
Sealdah Koley Market,West Bengal,Sweet Potato,2012,February,13.6,Tonnes,NR,Other,1200,1300,1200,Rs/Quintal
Chintamani,Karnataka,Sweet Pumpkin,2012,February,10,Tonnes,NR,Sweet Pumpkin,200,300,250,Rs/Quintal
Pune,Maharashtra,Sweet Pumpkin,2012,February,3,Tonnes,NR,Other,300,1000,650,Rs/Quintal
Azadpur,NCT of Delhi,Sweet Pumpkin,2012,February,NR,Tonnes,NR,Sweet Pumpkin,600,800,700,Rs/Quintal
Bankura Sadar,West Bengal,Sweet Pumpkin,2012,February,18,Tonnes,NR,Other,700,850,800,Rs/Quintal
Baruipur(Canning),West Bengal,Sweet Pumpkin,2012,February,6.5,Tonnes,NR,Sweet Pumpkin,800,900,900,Rs/Quintal
Burdwan,West Bengal,Sweet Pumpkin,2012,February,14,Tonnes,NR,Other,400,600,500,Rs/Quintal
Chakdah(Kalyani),West Bengal,Sweet Pumpkin,2012,February,2,Tonnes,NR,Sweet Pumpkin,500,600,550,Rs/Quintal
Diamond Harbour,West Bengal,Sweet Pumpkin,2012,February,6,Tonnes,NR,Sweet Pumpkin,800,1000,900,Rs/Quintal
Egra/contai,West Bengal,Sweet Pumpkin,2012,February,8.2,Tonnes,NR,Other,475,520,500,Rs/Quintal
Indus,West Bengal,Sweet Pumpkin,2012,February,5,Tonnes,NR,Other,550,650,600,Rs/Quintal
Kalna,West Bengal,Sweet Pumpkin,2012,February,16,Tonnes,NR,Other,550,650,600,Rs/Quintal
Kalyani,West Bengal,Sweet Pumpkin,2012,February,15,Tonnes,NR,Sweet Pumpkin,400,500,450,Rs/Quintal
Khatra,West Bengal,Sweet Pumpkin,2012,February,8.5,Tonnes,NR,Other,480,550,500,Rs/Quintal
Memari,West Bengal,Sweet Pumpkin,2012,February,27,Tonnes,NR,Other,675,725,700,Rs/Quintal
Sealdah Koley Market,West Bengal,Sweet Pumpkin,2012,February,16,Tonnes,NR,Other,700,900,700,Rs/Quintal
Ezhamkulam,Kerala,Tapioca,2012,February,4,Tonnes,NR,Other,1000,1300,1100,Rs/Quintal
Palakkad,Kerala,Tapioca,2012,February,2,Tonnes,NR,Tapioca,800,1000,900,Rs/Quintal
Parakkodu,Kerala,Tapioca,2012,February,3,Tonnes,NR,Other,900,1300,1100,Rs/Quintal
Pattambi,Kerala,Tapioca,2012,February,1,Tonnes,NR,Tapioca,1200,1500,1350,Rs/Quintal
Katpadi(Uzhavar Santhai),Tamil Nadu,Tapioca,2012,February,0.11,Tonnes,NR,Other,1400,1400,1400,Rs/Quintal
Bilimora,Gujarat,Tinda,2012,February,1.6,Tonnes,NR,Other,2250,2500,2375,Rs/Quintal
Sonepat,Haryana,Tinda,2012,February,0.2,Tonnes,NR,Other,1800,2000,NR,Rs/Quintal
Kalikiri,Andhra Pradesh,Tomato,2012,February,8,Tonnes,NR,Local,200,700,400,Rs/Quintal
Kovvur,Andhra Pradesh,Tomato,2012,February,0.8,Tonnes,NR,Tomato,1500,1700,1600,Rs/Quintal
Kuppam,Andhra Pradesh,Tomato,2012,February,5.2,Tonnes,NR,Local,900,1000,950,Rs/Quintal
Madanapalli,Andhra Pradesh,Tomato,2012,February,96,Tonnes,NR,Local,800,1000,900,Rs/Quintal
Madanapalli,Andhra Pradesh,Tomato,2012,February,,,NR,Other,600,780,740,Rs/Quintal
Mulakalacheruvu,Andhra Pradesh,Tomato,2012,February,15,Tonnes,NR,Local,600,800,700,Rs/Quintal
Palamaner,Andhra Pradesh,Tomato,2012,February,15.4,Tonnes,NR,Hybrid,400,660,530,Rs/Quintal
Piler,Andhra Pradesh,Tomato,2012,February,NR,Tonnes,NR,Local,250,400,300,Rs/Quintal
Rayachoti,Andhra Pradesh,Tomato,2012,February,NR,Tonnes,NR,Local,900,1100,1000,Rs/Quintal
Vayalapadu,Andhra Pradesh,Tomato,2012,February,25,Tonnes,NR,Local,300,800,500,Rs/Quintal
Vijayawada,Andhra Pradesh,Tomato,2012,February,16,Tonnes,NR,Deshi,400,600,500,Rs/Quintal
Cachar,Assam,Tomato,2012,February,2,Tonnes,NR,Tomato,700,950,800,Rs/Quintal
Kharupetia,Assam,Tomato,2012,February,24,Tonnes,NR,Local,500,800,700,Rs/Quintal
P.O. Uparhali Guwahati,Assam,Tomato,2012,February,6.5,Tonnes,NR,Other,700,1000,800,Rs/Quintal
Ahmedabad,Gujarat,Tomato,2012,February,124.4,Tonnes,NR,Other,300,500,400,Rs/Quintal
Bharuch,Gujarat,Tomato,2012,February,10.3,Tonnes,NR,Other,300,500,400,Rs/Quintal
Bilimora,Gujarat,Tomato,2012,February,12.8,Tonnes,NR,Other,600,700,650,Rs/Quintal
"Mehmadabad(Veg ,market)",Gujarat,Tomato,2012,February,NR,Tonnes,NR,Other,300,400,350,Rs/Quintal
S.Mandvi,Gujarat,Tomato,2012,February,0.55,Tonnes,NR,Other,200,650,425,Rs/Quintal
Talalagir,Gujarat,Tomato,2012,February,3.23,Tonnes,NR,Other,850,860,855,Rs/Quintal
Vadhvan,Gujarat,Tomato,2012,February,5.2,Tonnes,NR,Tomato,500,600,550,Rs/Quintal
Vadodara(Sayajipura),Gujarat,Tomato,2012,February,31,Tonnes,NR,Other,400,700,575,Rs/Quintal
Ambala City,Haryana,Tomato,2012,February,5.8,Tonnes,NR,Other,200,600,500,Rs/Quintal
Asandh,Haryana,Tomato,2012,February,1,Tonnes,NR,Other,500,600,550,Rs/Quintal
Ateli,Haryana,Tomato,2012,February,0.19,Tonnes,NR,Other,200,300,200,Rs/Quintal
Bahadurgarh,Haryana,Tomato,2012,February,7,Tonnes,NR,Other,700,1400,1000,Rs/Quintal
Ballabhgarh,Haryana,Tomato,2012,February,107,Tonnes,NR,Other,400,600,500,Rs/Quintal
Barara,Haryana,Tomato,2012,February,0.3,Tonnes,NR,Other,400,400,400,Rs/Quintal
Bhuna,Haryana,Tomato,2012,February,0.8,Tonnes,NR,Other,600,800,700,Rs/Quintal
Cheeka,Haryana,Tomato,2012,February,1,Tonnes,NR,Other,500,800,500,Rs/Quintal
Faridabad,Haryana,Tomato,2012,February,42.9,Tonnes,NR,Other,300,900,NR,Rs/Quintal
Fatehabad,Haryana,Tomato,2012,February,3,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Gharaunda,Haryana,Tomato,2012,February,5.3,Tonnes,NR,Other,700,1000,1000,Rs/Quintal
Hassanpur,Haryana,Tomato,2012,February,0.4,Tonnes,NR,Other,500,500,NR,Rs/Quintal
Hissar,Haryana,Tomato,2012,February,14.2,Tonnes,NR,Other,400,800,700,Rs/Quintal
Jakhal,Haryana,Tomato,2012,February,0.3,Tonnes,NR,Other,800,800,800,Rs/Quintal
Jhajjar,Haryana,Tomato,2012,February,4.2,Tonnes,NR,Other,300,1000,1000,Rs/Quintal
Jind,Haryana,Tomato,2012,February,10.9,Tonnes,NR,Other,350,800,740,Rs/Quintal
Jundla,Haryana,Tomato,2012,February,0.65,Tonnes,NR,Other,750,950,880,Rs/Quintal
Kaithal,Haryana,Tomato,2012,February,4.5,Tonnes,NR,Other,700,900,800,Rs/Quintal
kalanwali,Haryana,Tomato,2012,February,0.02,Tonnes,NR,Other,800,1200,1100,Rs/Quintal
Kalayat,Haryana,Tomato,2012,February,0.05,Tonnes,NR,Other,1000,1000,1000,Rs/Quintal
Karnal,Haryana,Tomato,2012,February,4.4,Tonnes,NR,Other,500,700,600,Rs/Quintal
Ladwa,Haryana,Tomato,2012,February,1.4,Tonnes,NR,Other,500,700,500,Rs/Quintal
Meham,Haryana,Tomato,2012,February,14,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Mohindergarh,Haryana,Tomato,2012,February,7.7,Tonnes,NR,Other,550,800,600,Rs/Quintal
Mustafabad,Haryana,Tomato,2012,February,0.1,Tonnes,NR,Other,400,600,500,Rs/Quintal
Naraingarh,Haryana,Tomato,2012,February,2.42,Tonnes,NR,Other,200,600,420,Rs/Quintal
Narnaul,Haryana,Tomato,2012,February,5.9,Tonnes,NR,Other,200,400,300,Rs/Quintal
Narwana,Haryana,Tomato,2012,February,1.8,Tonnes,NR,Other,600,1000,800,Rs/Quintal
Nissing,Haryana,Tomato,2012,February,0.08,Tonnes,NR,Other,500,500,500,Rs/Quintal
Panipat,Haryana,Tomato,2012,February,15,Tonnes,NR,Other,400,600,500,Rs/Quintal
Radaur,Haryana,Tomato,2012,February,9,Tonnes,NR,Other,500,900,700,Rs/Quintal
Raipur Rai,Haryana,Tomato,2012,February,0.8,Tonnes,NR,Other,300,400,330,Rs/Quintal
Rania,Haryana,Tomato,2012,February,0.08,Tonnes,NR,Other,900,1100,900,Rs/Quintal
Rewari,Haryana,Tomato,2012,February,14,Tonnes,NR,Other,500,1000,750,Rs/Quintal
Rohtak,Haryana,Tomato,2012,February,153,Tonnes,NR,Other,400,700,500,Rs/Quintal
Sadhaura,Haryana,Tomato,2012,February,2.9,Tonnes,NR,Other,600,800,740,Rs/Quintal
Safidon,Haryana,Tomato,2012,February,3.5,Tonnes,NR,Other,800,800,800,Rs/Quintal
Samalkha,Haryana,Tomato,2012,February,0.14,Tonnes,NR,Other,500,600,550,Rs/Quintal
Shahzadpur,Haryana,Tomato,2012,February,0.4,Tonnes,NR,Deshi,500,1000,500,Rs/Quintal
Siwani,Haryana,Tomato,2012,February,1,Tonnes,NR,Other,2000,2000,NR,Rs/Quintal
Sohna,Haryana,Tomato,2012,February,6.6,Tonnes,NR,Other,200,800,500,Rs/Quintal
Sonepat,Haryana,Tomato,2012,February,7.7,Tonnes,NR,Other,800,900,NR,Rs/Quintal
Tarori,Haryana,Tomato,2012,February,0.3,Tonnes,NR,Other,500,500,500,Rs/Quintal
Thanesar,Haryana,Tomato,2012,February,5.2,Tonnes,NR,Other,600,1200,800,Rs/Quintal
Uklana,Haryana,Tomato,2012,February,0.5,Tonnes,NR,Tomato,700,700,700,Rs/Quintal
Yamuna Nagar,Haryana,Tomato,2012,February,122,Tonnes,NR,Other,300,1000,1000,Rs/Quintal
Bhuntar,Himachal Pradesh,Tomato,2012,February,0.5,Tonnes,NR,Other,1200,1400,1300,Rs/Quintal
Dhanotu (Mandi),Himachal Pradesh,Tomato,2012,February,2.6,Tonnes,NR,Other,800,1200,1200,Rs/Quintal
Kullu,Himachal Pradesh,Tomato,2012,February,1.2,Tonnes,NR,Other,1000,1500,1200,Rs/Quintal
Mandi(Mandi),Himachal Pradesh,Tomato,2012,February,3.4,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Paonta Sahib,Himachal Pradesh,Tomato,2012,February,0.6,Tonnes,NR,Other,600,1000,800,Rs/Quintal
Santoshgarh,Himachal Pradesh,Tomato,2012,February,1.79,Tonnes,NR,Hybrid,900,1000,950,Rs/Quintal
Una,Himachal Pradesh,Tomato,2012,February,2,Tonnes,NR,Hybrid,1000,1200,1100,Rs/Quintal
Samba,Jammu and Kashmir,Tomato,2012,February,0.8,Tonnes,NR,Other,1000,1200,1100,Rs/Quintal
Gadhwah,Jharkhand,Tomato,2012,February,3,Tonnes,NR,Other,500,700,600,Rs/Quintal
Koderma,Jharkhand,Tomato,2012,February,1,Tonnes,NR,Other,500,700,600,Rs/Quintal
Latehar,Jharkhand,Tomato,2012,February,NR,Tonnes,NR,Tomato,300,400,350,Rs/Quintal
Sahebganj,Jharkhand,Tomato,2012,February,NR,Tonnes,NR,Tomato,600,800,700,Rs/Quintal
Saraikela,Jharkhand,Tomato,2012,February,NR,Tonnes,NR,Tomato,250,300,280,Rs/Quintal
Channapatana,Karnataka,Tomato,2012,February,4,Tonnes,NR,Tomato,400,800,600,Rs/Quintal
Chickkaballapura,Karnataka,Tomato,2012,February,3,Tonnes,NR,Tomato,600,1200,900,Rs/Quintal
Chintamani,Karnataka,Tomato,2012,February,12,Tonnes,NR,Tomato,300,1000,500,Rs/Quintal
Kolar,Karnataka,Tomato,2012,February,113,Tonnes,NR,Tomato,265,1535,800,Rs/Quintal
Mulabagilu,Karnataka,Tomato,2012,February,15,Tonnes,NR,Tomato,300,1335,865,Rs/Quintal
Nagamangala,Karnataka,Tomato,2012,February,1,Tonnes,NR,Tomato,500,500,500,Rs/Quintal
Siddapur,Karnataka,Tomato,2012,February,5.8,Tonnes,NR,Other,500,700,600,Rs/Quintal
Srinivasapur,Karnataka,Tomato,2012,February,18,Tonnes,NR,Tomato,166,866,666,Rs/Quintal
Kallachi,Kerala,Tomato,2012,February,0.6,Tonnes,NR,Other,1200,1400,1300,Rs/Quintal
Palakkad,Kerala,Tomato,2012,February,6,Tonnes,NR,Tomato,1400,1800,1600,Rs/Quintal
Pattambi,Kerala,Tomato,2012,February,3,Tonnes,NR,Other,1400,1600,1500,Rs/Quintal
Burhanpur,Madhya Pradesh,Tomato,2012,February,2,Tonnes,NR,Hybrid,600,1000,800,Rs/Quintal
Dewas,Madhya Pradesh,Tomato,2012,February,1.7,Tonnes,NR,Other,230,401,300,Rs/Quintal
Haatpipliya,Madhya Pradesh,Tomato,2012,February,0.75,Tonnes,NR,Other,200,600,400,Rs/Quintal
Harda,Madhya Pradesh,Tomato,2012,February,1.2,Tonnes,NR,Other,500,1200,800,Rs/Quintal
Indore(F&V),Madhya Pradesh,Tomato,2012,February,43.2,Tonnes,NR,Sankar,200,600,400,Rs/Quintal
Khandwa,Madhya Pradesh,Tomato,2012,February,0.03,Tonnes,NR,Other,350,500,400,Rs/Quintal
Lashkar,Madhya Pradesh,Tomato,2012,February,2.1,Tonnes,NR,Tomato,400,600,500,Rs/Quintal
Sagar,Madhya Pradesh,Tomato,2012,February,2,Tonnes,NR,Other,400,600,500,Rs/Quintal
Aurangabad,Maharashtra,Tomato,2012,February,4.9,Tonnes,NR,Other,300,500,400,Rs/Quintal
Chandvad,Maharashtra,Tomato,2012,February,2.5,Tonnes,NR,Other,200,510,400,Rs/Quintal
Karad,Maharashtra,Tomato,2012,February,8,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Kolhapur,Maharashtra,Tomato,2012,February,4,Tonnes,NR,Other,200,1000,700,Rs/Quintal
Kolhapur(Malkapur),Maharashtra,Tomato,2012,February,1.7,Tonnes,NR,Other,800,1200,1000,Rs/Quintal
Mangal Wedha,Maharashtra,Tomato,2012,February,4.8,Tonnes,NR,Other,100,1400,800,Rs/Quintal
Nagpur(Mahatma Phule Market),Maharashtra,Tomato,2012,February,15,Tonnes,NR,Other,500,700,600,Rs/Quintal
Navapur,Maharashtra,Tomato,2012,February,13,Tonnes,NR,Other,350,500,409,Rs/Quintal
Parbhani,Maharashtra,Tomato,2012,February,2.5,Tonnes,NR,Local,400,700,500,Rs/Quintal
Patan,Maharashtra,Tomato,2012,February,1.6,Tonnes,NR,Other,1000,1500,1200,Rs/Quintal
Pune,Maharashtra,Tomato,2012,February,162.8,Tonnes,NR,Other,300,800,550,Rs/Quintal
Azadpur,NCT of Delhi,Tomato,2012,February,96.2,Tonnes,NR,Tomato,400,960,676,Rs/Quintal
Keshopur,NCT of Delhi,Tomato,2012,February,130.5,Tonnes,NR,Tomato,480,960,720,Rs/Quintal
Shahdara,NCT of Delhi,Tomato,2012,February,NR,Tonnes,NR,Other,NR,500,300,Rs/Quintal
Shahdara,NCT of Delhi,Tomato,2012,February,,,NR,Tomato,600,700,NR,Rs/Quintal
Angul,Orissa,Tomato,2012,February,7.6,Tonnes,NR,Other,300,500,400,Rs/Quintal
Angul(Jarapada),Orissa,Tomato,2012,February,6.3,Tonnes,NR,Other,200,400,300,Rs/Quintal
Attabira,Orissa,Tomato,2012,February,5,Tonnes,NR,Other,200,500,400,Rs/Quintal
Bahadajholla,Orissa,Tomato,2012,February,60,Tonnes,NR,Other,550,650,600,Rs/Quintal
Bargarh,Orissa,Tomato,2012,February,325.12,Tonnes,NR,Other,200,300,250,Rs/Quintal
Bargarh(Barapalli),Orissa,Tomato,2012,February,45,Tonnes,NR,Other,120,280,250,Rs/Quintal
Baripada,Orissa,Tomato,2012,February,3.2,Tonnes,NR,Tomato,300,500,400,Rs/Quintal
Betnoti,Orissa,Tomato,2012,February,0.89,Tonnes,NR,Other,600,700,650,Rs/Quintal
Bhanjanagar,Orissa,Tomato,2012,February,26,Tonnes,NR,Other,800,900,850,Rs/Quintal
Boudh,Orissa,Tomato,2012,February,0.6,Tonnes,NR,Other,400,500,500,Rs/Quintal
Champua,Orissa,Tomato,2012,February,2,Tonnes,NR,Other,300,500,400,Rs/Quintal
Deogarh,Orissa,Tomato,2012,February,4.2,Tonnes,NR,Other,400,600,500,Rs/Quintal
Dhenkanal,Orissa,Tomato,2012,February,0.17,Tonnes,NR,Other,500,600,500,Rs/Quintal
Digapahandi,Orissa,Tomato,2012,February,14,Tonnes,NR,Other,500,600,540,Rs/Quintal
Hinjilicut,Orissa,Tomato,2012,February,28,Tonnes,NR,Other,800,1200,1100,Rs/Quintal
Jajpur,Orissa,Tomato,2012,February,4.5,Tonnes,NR,Local,200,300,250,Rs/Quintal
Jhumpura,Orissa,Tomato,2012,February,1.2,Tonnes,NR,Other,300,400,350,Rs/Quintal
Kandhamal,Orissa,Tomato,2012,February,3.2,Tonnes,NR,Deshi,1000,1200,1100,Rs/Quintal
Kantabaji,Orissa,Tomato,2012,February,0.08,Tonnes,NR,Other,800,1000,800,Rs/Quintal
Kasinagar,Orissa,Tomato,2012,February,6,Tonnes,NR,Other,1000,1200,1200,Rs/Quintal
Keonjhar,Orissa,Tomato,2012,February,3,Tonnes,NR,Other,600,800,700,Rs/Quintal
Keonjhar(Dhekikote),Orissa,Tomato,2012,February,0.3,Tonnes,NR,Other,500,700,600,Rs/Quintal
Khunthabandha,Orissa,Tomato,2012,February,0.5,Tonnes,NR,Other,500,600,500,Rs/Quintal
Kuchinda,Orissa,Tomato,2012,February,0.6,Tonnes,NR,Deshi,100,400,300,Rs/Quintal
Rairakhol,Orissa,Tomato,2012,February,1.6,Tonnes,NR,Other,500,500,500,Rs/Quintal
Sarankul,Orissa,Tomato,2012,February,40,Tonnes,NR,Other,600,700,650,Rs/Quintal
Sargipali,Orissa,Tomato,2012,February,10,Tonnes,NR,Other,200,400,300,Rs/Quintal
Abohar,Punjab,Tomato,2012,February,2.5,Tonnes,NR,Tomato,500,700,600,Rs/Quintal
Adampur,Punjab,Tomato,2012,February,1.5,Tonnes,NR,Tomato,600,700,700,Rs/Quintal
Amritsar(Amritsar Mewa Mandi),Punjab,Tomato,2012,February,700,Tonnes,NR,Other,400,700,550,Rs/Quintal
Anandpur Sahib,Punjab,Tomato,2012,February,6,Tonnes,NR,Deshi,400,600,500,Rs/Quintal
Baghapurana,Punjab,Tomato,2012,February,0.3,Tonnes,NR,Tomato,1500,1600,1500,Rs/Quintal
Balachaur,Punjab,Tomato,2012,February,0.7,Tonnes,NR,Other,800,900,850,Rs/Quintal
Barnala,Punjab,Tomato,2012,February,3.3,Tonnes,NR,Other,600,900,750,Rs/Quintal
Bassi Pathana,Punjab,Tomato,2012,February,1.5,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Batala,Punjab,Tomato,2012,February,0.5,Tonnes,NR,Other,600,700,650,Rs/Quintal
Bhawanigarh,Punjab,Tomato,2012,February,0.2,Tonnes,NR,Other,500,600,550,Rs/Quintal
Bilga,Punjab,Tomato,2012,February,0.1,Tonnes,NR,Other,1000,1100,1100,Rs/Quintal
Budalada,Punjab,Tomato,2012,February,1,Tonnes,NR,Other,700,800,750,Rs/Quintal
Chamkaur Sahib,Punjab,Tomato,2012,February,6,Tonnes,NR,Other,1000,1100,1050,Rs/Quintal
Dera Bassi,Punjab,Tomato,2012,February,0.24,Tonnes,NR,Other,700,800,750,Rs/Quintal
Dhuri,Punjab,Tomato,2012,February,0.2,Tonnes,NR,Tomato,NR,700,NR,Rs/Quintal
Dinanagar,Punjab,Tomato,2012,February,0.6,Tonnes,NR,Other,800,1200,1100,Rs/Quintal
Faridkot,Punjab,Tomato,2012,February,2,Tonnes,NR,Tomato,650,750,700,Rs/Quintal
Firozepur City,Punjab,Tomato,2012,February,16,Tonnes,NR,Other,700,800,750,Rs/Quintal
Gehri,Punjab,Tomato,2012,February,NR,Tonnes,NR,Other,1000,1000,1000,Rs/Quintal
Ghanaur,Punjab,Tomato,2012,February,0.5,Tonnes,NR,Other,400,500,500,Rs/Quintal
Giddarbaha,Punjab,Tomato,2012,February,1.2,Tonnes,NR,Other,800,900,850,Rs/Quintal
Goniana,Punjab,Tomato,2012,February,0.4,Tonnes,NR,Other,600,700,650,Rs/Quintal
Goraya,Punjab,Tomato,2012,February,0.35,Tonnes,NR,Other,1000,1000,1000,Rs/Quintal
Jagraon,Punjab,Tomato,2012,February,2.3,Tonnes,NR,Other,1000,1200,1100,Rs/Quintal
Jalalabad,Punjab,Tomato,2012,February,1,Tonnes,NR,Other,900,1100,1000,Rs/Quintal
Jalandhar City,Punjab,Tomato,2012,February,122,Tonnes,NR,Other,300,700,450,Rs/Quintal
Khamano,Punjab,Tomato,2012,February,0.15,Tonnes,NR,Tomato,1200,1200,1200,Rs/Quintal
Khanauri,Punjab,Tomato,2012,February,0.4,Tonnes,NR,Other,700,800,750,Rs/Quintal
Khanna,Punjab,Tomato,2012,February,11.2,Tonnes,NR,Other,600,1200,900,Rs/Quintal
Kharar,Punjab,Tomato,2012,February,2,Tonnes,NR,Other,600,800,700,Rs/Quintal
Kotkapura,Punjab,Tomato,2012,February,3.2,Tonnes,NR,Hybrid,800,1000,900,Rs/Quintal
Kurali,Punjab,Tomato,2012,February,1.5,Tonnes,NR,Other,650,700,675,Rs/Quintal
Lalru,Punjab,Tomato,2012,February,1.24,Tonnes,NR,Other,400,500,400,Rs/Quintal
Lohian Khas,Punjab,Tomato,2012,February,0.2,Tonnes,NR,Other,600,800,700,Rs/Quintal
